Hours,Scenarios,CT,ME,NEMASSBOST,NH,RI,SEMASS,VT,WCMASS,Total
1,1,971,2319,1346,1690,700,2908,529,989,11452
1,2,1015,2398,1360,1710,717,2938,535,1011,11684
1,3,1014,2372,1365,1697,712,3005,533,991,11689
1,4,965,2301,1328,1573,701,2872,520,937,11197
1,5,978,2261,1305,1625,700,3015,525,940,11349
1,6,1077,2446,1427,1805,773,3269,575,1054,12426
1,7,1060,2307,1348,1699,729,2983,552,1009,11687
1,8,1024,2228,1320,1685,711,2887,538,977,11370
1,9,975,2185,1272,1621,702,2823,521,947,11046
1,10,964,2175,1246,1568,679,2742,512,943,10829
1,11,957,2140,1235,1505,664,2741,505,918,10665
1,12,947,2081,1184,1460,652,2654,502,899,10379
1,13,1037,2187,1277,1600,702,2883,519,948,11153
1,14,1015,2250,1275,1667,720,2877,530,976,11310
1,15,983,2166,1236,1616,700,2846,540,950,11037
1,16,1002,2225,1295,1654,718,2945,540,966,11345
1,17,986,2192,1293,1582,702,2825,518,948,11046
1,18,928,2070,1179,1441,655,2639,475,877,10264
1,19,903,2006,1147,1416,637,2564,479,860,10012
1,20,928,2131,1193,1556,676,2799,506,920,10709
1,21,944,2052,1192,1525,665,2659,514,914,10465
1,22,956,2069,1206,1540,673,2720,511,926,10601
1,23,927,2152,1217,1571,680,2760,502,939,10748
1,24,961,2130,1251,1560,690,2753,499,918,10762
1,25,982,2065,1173,1459,650,2614,490,887,10320
1,26,927,2062,1179,1467,651,2681,489,882,10338
1,27,978,2118,1221,1589,687,2764,520,943,10820
1,28,974,2082,1210,1555,674,2704,521,919,10639
1,29,979,2118,1232,1596,684,2772,518,943,10842
1,30,976,2099,1206,1553,674,2693,493,923,10617
1,31,1021,2254,1324,1639,708,2922,535,1010,11413
1,32,996,2238,1308,1605,706,2913,527,984,11277
1,33,985,2224,1267,1565,691,2787,518,951,10988
1,34,1012,2208,1276,1577,692,2887,521,954,11127
1,35,1042,2272,1315,1710,722,3009,555,1001,11626
1,36,1006,2170,1259,1621,684,2790,539,965,11034
1,37,1012,2135,1246,1584,689,2712,524,943,10845
1,38,1095,2153,1244,1591,686,2714,537,940,10960
1,39,1036,2163,1270,1562,692,2766,520,935,10944
1,40,1033,2148,1240,1502,666,2698,501,899,10687
1,41,975,2057,1174,1453,646,2589,498,878,10270
1,42,1028,2185,1280,1629,700,2828,544,968,11162
1,43,1039,2265,1328,1648,710,2808,537,987,11322
1,44,1022,2203,1306,1623,709,2830,531,953,11177
1,45,1054,2205,1323,1612,706,2767,532,953,11152
1,46,1033,2224,1328,1594,711,2848,510,947,11195
1,47,1008,2157,1254,1482,673,2696,483,893,10646
1,48,1020,2048,1178,1421,640,2575,480,854,10216
1,49,1056,2060,1194,1526,673,2696,513,893,10611
1,50,974,2140,1212,1566,669,2690,514,917,10682
1,51,981,2134,1216,1608,696,2831,517,932,10915
1,52,1010,2111,1239,1572,680,2690,529,938,10769
1,53,995,2107,1216,1531,672,2720,495,924,10660
1,54,1007,2119,1192,1492,658,2670,486,904,10528
1,55,1003,2042,1166,1467,647,2632,489,888,10334
1,56,1034,2133,1245,1607,690,2808,533,952,11002
1,57,992,2092,1209,1564,673,2696,516,939,10681
1,58,1037,2137,1225,1589,687,2768,519,963,10925
1,59,1127,2118,1242,1592,682,2784,529,1003,11077
1,60,1058,2115,1225,1550,674,2735,497,965,10819
1,61,930,2133,1214,1511,667,2674,498,900,10527
1,62,909,2108,1176,1455,646,2606,496,872,10268
1,63,939,2125,1172,1480,642,2627,512,899,10396
1,64,926,2191,1225,1626,689,2856,542,964,11019
1,65,994,2301,1313,1732,725,2962,558,1002,11587
1,66,988,2357,1361,1740,740,3023,554,1007,11770
1,67,986,2268,1314,1678,718,2973,552,990,11479
1,68,992,2218,1263,1582,700,2847,527,948,11077
1,69,1015,2281,1288,1602,711,2990,530,972,11389
1,70,979,2196,1258,1524,675,2722,509,929,10792
1,71,959,2176,1250,1578,690,2762,525,948,10888
1,72,952,2167,1212,1552,677,2697,515,941,10713
1,73,947,2135,1211,1565,672,2687,518,949,10684
1,74,938,2125,1211,1527,668,2643,513,917,10542
1,75,931,2110,1192,1462,655,2581,487,897,10315
1,76,924,2071,1174,1412,641,2571,481,881,10155
1,77,923,2000,1131,1363,610,2442,479,868,9816
1,78,944,2080,1207,1509,665,2649,519,930,10503
1,79,952,2093,1212,1528,662,2598,506,936,10487
1,80,939,2118,1213,1543,665,2640,507,932,10557
1,81,928,2101,1200,1524,660,2612,505,926,10456
1,82,939,2126,1266,1511,671,2670,491,920,10594
1,83,921,2127,1221,1498,662,2735,494,899,10557
1,84,939,2111,1181,1497,645,2654,497,913,10437
1,85,950,2158,1241,1595,677,2722,507,950,10800
1,86,954,2104,1200,1564,663,2672,534,949,10640
1,87,968,2110,1229,1565,683,2717,517,939,10728
1,88,967,2097,1205,1548,666,2656,521,933,10593
1,89,993,2163,1254,1527,672,2671,507,934,10721
1,90,952,2127,1235,1451,654,2590,479,898,10386
2,1,949,2226,1286,1616,672,2796,513,951,11009
2,2,986,2304,1297,1644,686,2803,518,976,11214
2,3,980,2261,1302,1621,687,2846,510,944,11151
2,4,957,2071,1214,1488,672,2451,462,831,10146
2,5,950,2177,1262,1567,671,2885,510,906,10928
2,6,1039,2336,1381,1734,736,3106,549,1011,11892
2,7,1033,2206,1290,1630,693,2838,532,965,11187
2,8,986,2145,1268,1604,678,2761,519,941,10902
2,9,945,2082,1209,1555,665,2685,501,907,10549
2,10,927,2071,1184,1501,642,2595,483,902,10305
2,11,917,2023,1156,1429,624,2569,484,867,10069
2,12,933,2010,1136,1390,623,2555,489,878,10014
2,13,1017,2087,1214,1542,667,2756,502,908,10693
2,14,999,2136,1198,1588,649,2722,508,938,10738
2,15,957,2062,1172,1547,662,2702,520,909,10531
2,16,976,2112,1233,1590,684,2767,524,926,10812
2,17,954,2085,1229,1516,665,2680,499,901,10529
2,18,897,1957,1106,1369,616,2451,452,829,9677
2,19,884,1919,1099,1353,610,2448,462,831,9606
2,20,898,2028,1136,1479,641,2610,482,884,10158
2,21,912,1945,1132,1452,631,2514,498,875,9959
2,22,921,1965,1142,1472,639,2590,493,884,10106
2,23,897,2027,1146,1488,643,2575,485,888,10149
2,24,921,2022,1183,1482,649,2597,482,867,10203
2,25,946,1966,1107,1393,612,2461,475,849,9809
2,26,902,1975,1132,1418,627,2542,475,851,9922
2,27,949,2021,1158,1523,654,2634,502,902,10343
2,28,955,1990,1143,1488,641,2560,502,877,10156
