Hours,Scenarios,WindCF
1,1,0.568525057
1,2,0.334908747
1,3,0.338329944
1,4,0.257298738
1,5,0
1,6,0
1,7,0.392393579
1,8,0.266911445
1,9,0.359243149
1,10,0.545251856
1,11,0.372036847
1,12,1
1,13,1
1,14,0.349588349
1,15,0.324343644
1,16,0.983884969
1,17,0.041030716
1,18,1
1,19,0.041845882
1,20,1
1,21,0.157180311
1,22,0.295647533
1,23,0.109329584
1,24,0.47450624
1,25,0.013285093
1,26,1
1,27,0.519503307
1,28,0
1,29,1
1,30,0.534884784
1,31,0.407031113
1,32,0.306722268
1,33,0.09620914
1,34,0.536357538
1,35,0.074823936
1,36,0.091732313
1,37,0.003236951
1,38,0.424126889
1,39,0.634330104
1,40,0.045370429
1,41,0
1,42,0.073059002
1,43,0.095724574
1,44,0.097899336
1,45,0.06187251
1,46,0.086712013
1,47,0
1,48,0.112146417
1,49,0.358980145
1,50,0.022586308
1,51,0
1,52,0.054034087
1,53,0.013183472
1,54,0.358117012
1,55,0.035901368
1,56,0
1,57,0
1,58,0.077741084
1,59,0.153896202
1,60,0.327651601
1,61,0.311366307
1,62,0.182272405
1,63,0.131396869
1,64,0
1,65,0.089723288
1,66,0
1,67,0.462022559
1,68,0.138691797
1,69,0.303436919
1,70,0.050342847
1,71,0.163757131
1,72,0.166930746
1,73,0.916304816
1,74,0.276600231
1,75,0.413201553
1,76,0.047565034
1,77,0.567218997
1,78,0.137947489
1,79,0.538313049
1,80,1
1,81,0.250158455
1,82,0
1,83,0.98248332
1,84,0.240576356
1,85,0
1,86,0
1,87,0.036867222
1,88,1
1,89,0.872592274
1,90,0
2,1,0.530669792
2,2,0.336722929
2,3,0.299064002
2,4,0.267508009
2,5,0
2,6,0
2,7,0.376317755
2,8,0.286366353
2,9,0.428968902
2,10,0.669995539
2,11,0.377209231
2,12,1
2,13,1
2,14,0.339550253
2,15,0.340991283
2,16,1
2,17,0.118799147
2,18,1
2,19,0.046548996
2,20,1
2,21,0.155680215
2,22,0.260117726
2,23,0.035857528
2,24,0.461751959
2,25,0.047238684
2,26,1
2,27,0.455337083
2,28,0.02739116
2,29,1
2,30,0.421645083
2,31,0.563342269
2,32,0.315425468
2,33,0.087692931
2,34,0.670448048
2,35,0.083661809
2,36,0.07322791
2,37,0
2,38,0.356133703
2,39,0.394789259
2,40,0.053387906
2,41,0
2,42,0.107104164
2,43,0.135986311
2,44,0.098825058
2,45,0.1011603
2,46,0.071547082
2,47,0
2,48,0.116780021
2,49,0.40076449
2,50,0.15469012
2,51,0
2,52,0.094343807
2,53,0.069048296
2,54,0.327597365
2,55,0.061742866
2,56,0.03140693
2,57,0
2,58,0.097069734
2,59,0.166425677
2,60,0.599691717
2,61,0.19548319
2,62,0.182816578
2,63,0.117552392
2,64,0.046852613
2,65,0.069670227
2,66,0.045228234
2,67,0.367245288
2,68,0.135090069
2,69,0.347360947
2,70,0.076149386
2,71,0.194932595
2,72,0.188639444
2,73,0.994460807
2,74,0.223390508
2,75,0.381959963
2,76,0.020368198
2,77,0.558862327
2,78,0.098241998
2,79,0.552523874
2,80,1
2,81,0.209903205
2,82,0
2,83,0.925161632
2,84,0.284027631
2,85,0
2,86,0
2,87,0
2,88,1
2,89,0.853291525
2,90,0
3,1,0.545980861
3,2,0.261637378
3,3,0.281118824
3,4,0.248607029
3,5,0
3,6,0.014572644
3,7,0.278110607
3,8,0.346610825
3,9,0.500422782
3,10,0.547626271
3,11,0.456322129
3,12,1
3,13,1
3,14,0.191163256
3,15,0.344856176
3,16,1
3,17,0.115895445
3,18,1
3,19,0.071825434
3,20,1
3,21,0.144118088
3,22,0.212852123
3,23,0
3,24,0.383300766
3,25,0.065551963
3,26,1
3,27,0.396053974
3,28,0.07301141
3,29,1
3,30,0.446512676
3,31,0.763551747
3,32,0.319023768
3,33,0.057900999
3,34,0.435133998
3,35,0.102954056
3,36,0.064489722
3,37,0
3,38,0.266679927
3,39,0.421857462
3,40,0.041196961
3,41,0
3,42,0.059334305
3,43,0.118292985
3,44,0.201913617
3,45,0.138112286
3,46,0.083381082
3,47,0
3,48,0.090821258
3,49,0.319662749
3,50,0.182552696
3,51,0
3,52,0.125474951
3,53,0.120060579
3,54,0.301708804
3,55,0.057976042
3,56,0.06522389
3,57,0.021444281
3,58,0.115472716
3,59,0.153218705
3,60,0.507845358
3,61,0.129776131
3,62,0.192685913
3,63,0.066818307
3,64,0
3,65,0.043701556
3,66,0.056475482
3,67,0.269699385
3,68,0.099725742
3,69,0.293586987
3,70,0.081071976
3,71,0.220945875
3,72,0.171775014
3,73,0.898365691
3,74,0.142373851
3,75,0.420352609
3,76,0
3,77,0.479985354
3,78,0.091072322
3,79,0.535533821
3,80,1
3,81,0.171776934
3,82,0.003104975
3,83,0.996368098
3,84,0.367299121
3,85,0.010559055
3,86,0
3,87,0.018760847
3,88,1
3,89,0.953738548
3,90,0
4,1,0.423303826
4,2,0.166811183
4,3,0.289174787
4,4,0.283025228
4,5,0
4,6,0.070380424
4,7,0.235781496
4,8,0.291175024
4,9,0.590777328
4,10,0.505589318
4,11,0.531477945
4,12,1
4,13,1
4,14,0.153055986
4,15,0.379223997
4,16,1
4,17,0.007092448
4,18,1
4,19,0.078999087
4,20,1
4,21,0.100327186
4,22,0.165099993
4,23,0
4,24,0.330789749
4,25,0.07227421
4,26,1
4,27,0.364234359
4,28,0.081272112
4,29,1
4,30,0.434080242
4,31,0.875540873
4,32,0.273642128
4,33,0.040311909
4,34,0.253640059
4,35,0.132661277
4,36,0.048712312
4,37,0
4,38,0.298697066
4,39,0.528233384
4,40,0.016154296
4,41,0
4,42,0.110534471
4,43,0.070882951
4,44,0.071559122
4,45,0.095023602
4,46,0.07466852
4,47,0
4,48,0.083090085
4,49,0.280753207
4,50,0.251944183
4,51,0.006266063
4,52,0.089119008
4,53,0.129590449
4,54,0.218246436
4,55,0.063224325
4,56,0.101735184
4,57,0.061336752
4,58,0.139423129
4,59,0.093753278
4,60,0.532255401
4,61,0.109949329
4,62,0.209349562
4,63,0.076592769
4,64,0
4,65,0
4,66,0.056072306
4,67,0.154553536
4,68,0.105943269
4,69,0.48343129
4,70,0.110713352
4,71,0.266093103
4,72,0.191787567
4,73,0.967993127
4,74,0.04139503
4,75,0.551488504
4,76,0
4,77,0.37987576
4,78,0.107056738
4,79,0.550397916
4,80,1
4,81,0.165024087
4,82,0.015749701
4,83,0.94341573
4,84,0.369845407
4,85,0.051947673
4,86,0
4,87,0.11509467
4,88,1
4,89,0.948250046
4,90,0.037359689
5,1,0.696596544
5,2,0.184373998
5,3,0.298455208
5,4,0.296153012
5,5,0
5,6,0.088702006
5,7,0.18544485
5,8,0.163864141
5,9,0.46579287
5,10,0.440044749
5,11,0.435735977
5,12,1
5,13,1
5,14,0.196039956
5,15,0.329795727
5,16,0.978926332
5,17,0.048118105
5,18,1
5,19,0.084549472
5,20,1
5,21,0.069422213
5,22,0.128603757
5,23,0
5,24,0.276808212
5,25,0.089479516
5,26,1
5,27,0.340941767
5,28,0.074462772
5,29,1
5,30,0.585893748
5,31,0.982075958
5,32,0.209740046
5,33,0.003256104
5,34,0.230582648
5,35,0.163561914
